ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m99,Hawaii,courtship,botflank,Leaf_B2,own,2.55431492,24.5216177
m99,Hawaii,courtship,botflank,Leaf_T1,own,6.651488268,46.3629537
m99,Hawaii,courtship,botflank,Leaf_T2,own,4.597668547,44.8403346
m99,Hawaii,courtship,botflank,Stem1,own,1.644245642,26.463999
m99,Hawaii,courtship,botflank,Stem2,own,1.637996989,31.8887577
ms5,Hawaii,courtship,botflank,Leaf_B1,own,0.516930761,19.7189982
ms5,Hawaii,courtship,botflank,Leaf_B2,own,1.866237157,19.8127019
ms5,Hawaii,courtship,botflank,Leaf_T1,own,4.852994397,41.6540378
ms5,Hawaii,courtship,botflank,Leaf_T2,own,2.634897664,40.1314187
ms5,Hawaii,courtship,botflank,Stem1,own,2.809490197,21.7550832
ms5,Hawaii,courtship,botflank,Stem2,own,1.881418671,27.1798418
m108,Kenya,courtship,botflank,Leaf_B1,own,4.695135114,19.538141
m108,Kenya,courtship,botflank,Leaf_B2,own,3.893789005,20.8568484
m108,Kenya,courtship,botflank,Leaf_T1,own,0.979652486,35.1919876
m108,Kenya,courtship,botflank,Leaf_T2,own,3.355431617,36.2677964
m108,Kenya,courtship,botflank,Stem1,own,4.659312643,30.1066861
m108,Kenya,courtship,botflank,Stem2,own,5.068420473,21.1370306
m11b,Kenya,courtship,botflank,Leaf_B1,own,4.300099934,20.0872339
m11b,Kenya,courtship,botflank,Leaf_B2,own,3.440057115,21.4059413
m11b,Kenya,courtship,botflank,Leaf_T1,own,1.910856525,35.7410805
m11b,Kenya,courtship,botflank,Leaf_T2,own,3.142174416,36.8168894
m11b,Kenya,courtship,botflank,Stem1,own,4.087223947,30.655779
m11b,Kenya,courtship,botflank,Stem2,own,4.23420412,21.6861236
m13,Kenya,courtship,botflank,Leaf_B1,own,4.46003871,14.3549166
m13,Kenya,courtship,botflank,Leaf_B2,own,3.595605877,15.673624
m13,Kenya,courtship,botflank,Leaf_T1,own,1.90253648,30.0087632
m13,Kenya,courtship,botflank,Leaf_T2,own,3.247670129,31.084572
m13,Kenya,courtship,botflank,Stem1,own,4.044809505,24.9234617
m13,Kenya,courtship,botflank,Stem2,own,4.18943385,15.9538062
m17a,Kenya,courtship,botflank,Leaf_B1,own,2.826202638,12.3802906
m17a,Kenya,courtship,botflank,Leaf_B2,own,1.994369476,13.698998
m17a,Kenya,courtship,botflank,Leaf_T1,own,1.521697954,28.0341372
m17a,Kenya,courtship,botflank,Leaf_T2,own,1.587682909,29.109946
m17a,Kenya,courtship,botflank,Stem1,own,3.02175775,22.9488357
m17a,Kenya,courtship,botflank,Stem2,own,3.522062179,13.9791802
m17b,Kenya,courtship,botflank,Leaf_B1,own,3.332535616,13.3862018
m17b,Kenya,courtship,botflank,Leaf_B2,own,2.516575041,14.7049092
m17b,Kenya,courtship,botflank,Leaf_T1,own,1.059286019,29.0400484
m17b,Kenya,courtship,botflank,Leaf_T2,own,1.997792472,30.1158572
m17b,Kenya,courtship,botflank,Stem1,own,3.299113994,23.9547469
m17b,Kenya,courtship,botflank,Stem2,own,3.803661498,14.9850914
m18c,Kenya,courtship,botflank,Leaf_B1,own,4.67396978,14.5255244
m18c,Kenya,courtship,botflank,Leaf_B2,own,3.886937558,15.8442317
m18c,Kenya,courtship,botflank,Leaf_T1,own,0.900554499,30.1793709
m18c,Kenya,courtship,botflank,Leaf_T2,own,3.307288327,31.2551798
m18c,Kenya,courtship,botflank,Stem1,own,4.573051825,25.0940695
m18c,Kenya,courtship,botflank,Stem2,own,5.025094543,16.124414
m19c,Kenya,courtship,botflank,Leaf_B1,own,6.235058606,15.6168617
m19c,Kenya,courtship,botflank,Leaf_B2,own,5.46555934,16.9355691
m19c,Kenya,courtship,botflank,Leaf_T1,own,2.279589373,31.2707083
m19c,Kenya,courtship,botflank,Leaf_T2,own,4.893083057,32.3465172
m19c,Kenya,courtship,botflank,Stem1,own,6.256222251,26.1854068
m19c,Kenya,courtship,botflank,Stem2,own,6.65492074,17.2157514
m19c,Kenya,courtship,botflank,Leaf_B1,own,5.947024459,9.4728927
m19c,Kenya,courtship,botflank,Leaf_B2,own,5.197345517,10.7916
m19c,Kenya,courtship,botflank,Leaf_T1,own,1.968447892,25.1267393
m19c,Kenya,courtship,botflank,Leaf_T2,own,4.603915248,26.2025481
m19c,Kenya,courtship,botflank,Stem1,own,6.03665178,20.0414378
m19c,Kenya,courtship,botflank,Stem2,own,6.490275838,11.0717823
m203,Kenya,courtship,botflank,Leaf_B1,own,4.049794529,3.1946609
m203,Kenya,courtship,botflank,Leaf_B2,own,3.290034097,4.5133682
m203,Kenya,courtship,botflank,Leaf_T1,own,0.501628568,18.8485074
m203,Kenya,courtship,botflank,Leaf_T2,own,2.670533818,19.9243163
