ID,Population,BodyRegion,Colour1,Colour2,dS,dL
m82c,Hawaii,topflank,display,subord,5.432569136,31.2754288
m83b,Hawaii,topflank,display,subord,7.851559555,23.2663534
m84b,Hawaii,topflank,display,subord,4.627816608,21.7001314
m85,Hawaii,topflank,display,subord,5.371644921,19.3126236
m9,Hawaii,topflank,display,subord,0.780623749,17.1945475
m91c,Hawaii,topflank,display,subord,7.989251139,34.144645
m92d,Hawaii,topflank,display,subord,1.380314434,5.0022289
ms4,Hawaii,topflank,display,subord,3.315923072,9.1303275
ms5,Hawaii,topflank,display,subord,3.957163893,15.0307452
m108,Kenya,topflank,display,subord,8.324330278,32.0359569
m11b,Kenya,topflank,display,subord,7.541692972,51.0520811
m13,Kenya,topflank,display,subord,10.32037009,22.7373464
m17a,Kenya,topflank,display,subord,8.431421044,44.0325623
m17b,Kenya,topflank,display,subord,6.659877276,28.9467718
m18c,Kenya,topflank,display,subord,8.746899939,24.123823
m19c,Kenya,topflank,display,subord,12.63769809,41.6496684
m211,Kenya,topflank,display,subord,10.4643525,46.6411632
m22a,Kenya,topflank,display,subord,8.448336648,36.2993916
m23,Kenya,topflank,display,subord,9.045616861,31.9477988
m28a,Kenya,topflank,display,subord,10.18380732,33.0798938
m32a,Kenya,topflank,display,subord,9.85559529,34.9921163
m48,Kenya,topflank,display,subord,8.492200973,29.355712
m52,Kenya,topflank,display,subord,9.987323531,18.6836097
m52,Kenya,topflank,display,subord,11.61380342,45.8839347
m52a,Kenya,topflank,display,subord,7.512302217,24.8387863
m55c,Kenya,topflank,display,subord,6.752692555,17.387567
m56c,Kenya,topflank,display,subord,7.666932213,35.3933096
m63a,Kenya,topflank,display,subord,10.48453571,36.9129468
m63b,Kenya,topflank,display,subord,9.754935262,31.5312051
m64,Kenya,topflank,display,subord,13.66903802,34.9769315
m64b,Kenya,topflank,display,subord,10.79020067,42.2893951
m72,Kenya,topflank,display,subord,9.187751888,29.9072178
m74a,Kenya,topflank,display,subord,7.261497557,37.8188326
m74b,Kenya,topflank,display,subord,9.615119884,38.0823969
m7a,Kenya,topflank,display,subord,8.851678099,30.6725241
m7c,Kenya,topflank,display,subord,11.86392446,51.9664725
m8,Kenya,topflank,display,subord,5.052498759,20.0310309
m8a,Kenya,topflank,display,subord,8.302102982,32.2964574
m8c,Kenya,topflank,display,subord,9.993060167,22.5273122
