ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m92d,Hawaii,display,botflank,Stem2,own,2.179235191,29.9087431
m95d,Hawaii,display,botflank,Leaf_B1,own,1.805788096,34.3545676
m95d,Hawaii,display,botflank,Leaf_B2,own,3.35301485,34.4482713
m95d,Hawaii,display,botflank,Leaf_T1,own,3.775955224,56.2896073
m95d,Hawaii,display,botflank,Leaf_T2,own,2.659314405,54.7669882
m95d,Hawaii,display,botflank,Stem1,own,3.96406554,36.3906526
m95d,Hawaii,display,botflank,Stem2,own,3.265703474,41.8154113
m99,Hawaii,display,botflank,Leaf_B1,own,1.696290599,16.5626147
m99,Hawaii,display,botflank,Leaf_B2,own,2.339967272,16.6563184
m99,Hawaii,display,botflank,Leaf_T1,own,5.726007808,38.4976544
m99,Hawaii,display,botflank,Leaf_T2,own,3.783393404,36.9750353
m99,Hawaii,display,botflank,Stem1,own,2.132286992,18.5986997
m99,Hawaii,display,botflank,Stem2,own,1.67855125,24.0234584
ms4,Hawaii,display,botflank,Leaf_B1,own,1.177307364,31.3895762
ms4,Hawaii,display,botflank,Leaf_B2,own,2.61886673,31.4832799
ms4,Hawaii,display,botflank,Leaf_T1,own,3.97696444,53.3246158
ms4,Hawaii,display,botflank,Leaf_T2,own,2.094550791,51.8019967
ms4,Hawaii,display,botflank,Stem1,own,3.478599352,33.4256612
ms4,Hawaii,display,botflank,Stem2,own,2.76707396,38.8504198
ms5,Hawaii,display,botflank,Leaf_B1,own,1.307940725,26.4438024
ms5,Hawaii,display,botflank,Leaf_B2,own,2.964682415,26.5375061
ms5,Hawaii,display,botflank,Leaf_T1,own,4.006307517,48.378842
ms5,Hawaii,display,botflank,Leaf_T2,own,2.592733708,46.8562229
ms5,Hawaii,display,botflank,Stem1,own,3.719488636,28.4798874
ms5,Hawaii,display,botflank,Stem2,own,2.865664047,33.904646
m108,Kenya,display,botflank,Leaf_B1,own,5.578244702,23.4178275
m108,Kenya,display,botflank,Leaf_B2,own,4.738344037,24.7365349
m108,Kenya,display,botflank,Leaf_T1,own,2.189755214,39.0716741
m108,Kenya,display,botflank,Leaf_T2,own,4.257459404,40.1474829
m108,Kenya,display,botflank,Stem1,own,5.084001452,33.9863726
m108,Kenya,display,botflank,Stem2,own,5.287292199,25.0167171
m11b,Kenya,display,botflank,Leaf_B1,own,7.111511916,23.4178224
m11b,Kenya,display,botflank,Leaf_B2,own,6.246313073,24.7365298
m11b,Kenya,display,botflank,Leaf_T1,own,3.910856388,39.071669
m11b,Kenya,display,botflank,Leaf_T2,own,5.882087084,40.1474779
m11b,Kenya,display,botflank,Stem1,own,6.50883043,33.9863675
m11b,Kenya,display,botflank,Stem2,own,6.454524094,25.0167121
m13,Kenya,display,botflank,Leaf_B1,own,4.930648076,16.2761126
m13,Kenya,display,botflank,Leaf_B2,own,4.07787615,17.5948199
m13,Kenya,display,botflank,Leaf_T1,own,2.617220562,31.9299592
m13,Kenya,display,botflank,Leaf_T2,own,3.759718124,33.005768
m13,Kenya,display,botflank,Stem1,own,4.097307149,26.8446577
m13,Kenya,display,botflank,Stem2,own,4.091020472,17.8750022
m17a,Kenya,display,botflank,Leaf_B1,own,3.791781555,18.2522139
m17a,Kenya,display,botflank,Leaf_B2,own,2.9509517,19.5709212
m17a,Kenya,display,botflank,Leaf_T1,own,1.385563887,33.9060605
m17a,Kenya,display,botflank,Leaf_T2,own,2.582878553,34.9818693
m17a,Kenya,display,botflank,Stem1,own,3.826154482,28.820759
m17a,Kenya,display,botflank,Stem2,own,4.145104415,19.8511035
m17b,Kenya,display,botflank,Leaf_B1,own,4.178521292,17.269842
m17b,Kenya,display,botflank,Leaf_B2,own,3.346038919,18.5885493
m17b,Kenya,display,botflank,Leaf_T1,own,1.190686325,32.9236886
m17b,Kenya,display,botflank,Leaf_T2,own,2.853344736,33.9994974
m17b,Kenya,display,botflank,Stem1,own,3.885277825,27.8383871
m17b,Kenya,display,botflank,Stem2,own,4.243363767,18.8687316
m18c,Kenya,display,botflank,Leaf_B1,own,5.294067864,8.9012365
m18c,Kenya,display,botflank,Leaf_B2,own,4.514034026,10.2199438
m18c,Kenya,display,botflank,Leaf_T1,own,1.420960892,24.5550831
m18c,Kenya,display,botflank,Leaf_T2,own,3.966353081,25.6308919
m18c,Kenya,display,botflank,Stem1,own,5.366128177,19.4697816
m18c,Kenya,display,botflank,Stem2,own,5.778358158,10.5001261
m19c,Kenya,display,botflank,Leaf_B1,own,6.4627888,10.8696113
m19c,Kenya,display,botflank,Leaf_B2,own,5.693886794,12.1883186
m19c,Kenya,display,botflank,Leaf_T1,own,2.492246942,26.5234579
m19c,Kenya,display,botflank,Leaf_T2,own,5.110689524,27.5992667
m19c,Kenya,display,botflank,Stem1,own,6.436440846,21.4381564
m19c,Kenya,display,botflank,Stem2,own,6.832238956,12.4685009
m201,Kenya,display,botflank,Leaf_B1,own,1.556282244,13.9250323
m201,Kenya,display,botflank,Leaf_B2,own,0.838138874,15.2437397
m201,Kenya,display,botflank,Leaf_T1,own,2.846319612,29.5788789
m201,Kenya,display,botflank,Leaf_T2,own,1.026681512,30.6546878
m201,Kenya,display,botflank,Stem1,own,2.497403412,24.4935774
m201,Kenya,display,botflank,Stem2,own,3.073384359,15.523922
m20b,Kenya,display,botflank,Leaf_B1,own,8.593236318,14.3825015
m20b,Kenya,display,botflank,Leaf_B2,own,7.744668663,15.7012088
m20b,Kenya,display,botflank,Leaf_T1,own,5.043377904,30.0363481
m20b,Kenya,display,botflank,Leaf_T2,own,7.282627093,31.1121569
m20b,Kenya,display,botflank,Stem1,own,7.91989346,24.9510466
m20b,Kenya,display,botflank,Stem2,own,7.937280931,15.9813911
m20b,Kenya,display,botflank,Leaf_B1,own,6.589606765,21.6162238
m20b,Kenya,display,botflank,Leaf_B2,own,5.745112369,22.9349312
m20b,Kenya,display,botflank,Leaf_T1,own,3.259831385,37.2700704
m20b,Kenya,display,botflank,Leaf_T2,own,5.287258104,38.3458792
m20b,Kenya,display,botflank,Stem1,own,5.891431685,32.1847689
m20b,Kenya,display,botflank,Stem2,own,5.973774996,23.2151134
m211,Kenya,display,botflank,Leaf_B1,own,6.971191484,22.6909106
m211,Kenya,display,botflank,Leaf_B2,own,6.152475219,24.0096179
m211,Kenya,display,botflank,Leaf_T1,own,4.167493422,38.3447571
m211,Kenya,display,botflank,Leaf_T2,own,5.746368433,39.420566
m211,Kenya,display,botflank,Stem1,own,5.863664942,33.2594557
m211,Kenya,display,botflank,Stem2,own,5.802893544,24.2898002
m22a,Kenya,display,botflank,Leaf_B1,own,3.110656108,19.0917965
m22a,Kenya,display,botflank,Leaf_B2,own,2.339638453,20.4105039
m22a,Kenya,display,botflank,Leaf_T1,own,2.573570202,34.7456431
m22a,Kenya,display,botflank,Leaf_T2,own,2.082215453,35.8214519
m22a,Kenya,display,botflank,Stem1,own,2.10869271,29.6603416
m22a,Kenya,display,botflank,Stem2,own,2.414666728,20.6906861
m23,Kenya,display,botflank,Leaf_B1,own,2.772326126,11.2025021
m23,Kenya,display,botflank,Leaf_B2,own,2.121484769,12.5212095
m23,Kenya,display,botflank,Leaf_T1,own,2.78159455,26.8563487
m23,Kenya,display,botflank,Leaf_T2,own,1.812439639,27.9321576
m23,Kenya,display,botflank,Stem1,own,1.700486316,21.7710472
m23,Kenya,display,botflank,Stem2,own,2.300418052,12.8013918
m24b,Kenya,display,botflank,Leaf_B1,own,4.932857392,13.1220861
m24b,Kenya,display,botflank,Leaf_B2,own,4.122794936,14.4407934
m24b,Kenya,display,botflank,Leaf_T1,own,2.741382966,28.7759327
m24b,Kenya,display,botflank,Leaf_T2,own,3.745524738,29.8517415
m24b,Kenya,display,botflank,Stem1,own,3.885684617,23.6906312
m24b,Kenya,display,botflank,Stem2,own,3.952737815,14.7209757
